0,1,2,3,4,5,6,7
0,0,0.0046,0.0323,0.5715,0.0054,0.0031,0.0008
0,0.0031,0.0077,0.0338,0.3269,0.0131,0,0
0,0.0015,0.0031,0.0892,0.2485,0.0854,0.0008,0.0008
0,0.0008,0.0046,0.1469,0.1492,0.1054,0,0
0,0.0008,0.0031,0.0338,0.0277,0.0038,0,0
0,0,0.0015,0.0108,0.0038,0.0015,0,0
0,0,0.0008,0.0015,0.0023,0,0,0
0,0,0,0,0,0,0,0
