0.00000 	0.00000 	0.00000 
4.98304 	27.86378 	27.86378 
9.96607 	65.01548 	55.72755 
14.94911 	114.55108 	83.59133 
20.03817 	142.41486 	120.74303 
25.02120 	188.85449 	167.18266 
30.00424 	247.67802 	250.77399 
34.98728 	303.40557 	306.50155 
39.97031 	359.13313 	359.13313 
44.95335 	390.09288 	417.95666 
50.04241 	408.66873 	470.58824 
55.02545 	464.39628 	535.60372 
60.00848 	529.41176 	625.38700 
64.99152 	588.23529 	705.88235 
69.97455 	659.44272 	820.43344 
74.95759 	727.55418 	965.94427 
80.04665 	786.37771 	1074.30341 
85.02969 	851.39319 	1207.43034 
90.01272 	913.31269 	1321.98142 
94.99576 	978.32817 	1467.49226 
99.97880 	1046.43963 	1600.61920 
104.96183 	1111.45511 	1715.17028 
110.05089 	1170.27864 	1823.52941 
115.03393 	1238.39009 	1975.23220 
120.01696 	1303.40557 	2102.16718 
125.00000 	1362.22910 	2213.62229 
129.98304 	1417.95666 	2340.55728 
134.96607 	1479.87616 	2464.39628 
139.94911 	1560.37152 	2603.71517 
145.03817 	1616.09907 	2721.36223 
150.02120 	1671.82663 	2786.37771 
155.00424 	1671.82663 	2869.96904 
159.98728 	1671.82663 	2928.79257 
164.97031 	1674.92260 	2953.56037 
169.95335 	1674.92260 	2981.42415 
175.04241 	1674.92260 	3009.28793 
180.02545 	1674.92260 	3037.15170 
185.00848 	1674.92260 	3065.01548 
189.99152 	1674.92260 	3092.87926 
194.97455 	1699.69040 	3120.74303 
199.95759 	1746.13003 	3148.60681 
205.04665 	1783.28173 	3204.33437 
210.02969 	1811.14551 	3315.78947 
215.01272 	1888.54489 	3439.62848 
219.99576 	1962.84830 	3634.67492 
224.97880 	2030.95975 	3789.47368 
229.96183 	2117.64706 	4012.38390 
235.05089 	2204.33437 	4207.43034 
240.03393 	2315.78947 	4458.20433 
245.01696 	2473.68421 	4681.11455 
250.00000 	2668.73065 	4885.44892 
254.98304 	2869.96904 	5095.97523 
259.96607 	3077.39938 	5312.69350 
264.94911 	3380.80495 	5557.27554 
270.03817 	3656.34675 	5764.70588 
275.02120 	3922.60062 	5978.32817 
280.00424 	4195.04644 	6188.85449 
284.98728 	4517.02786 	6442.72446 
289.97031 	4773.99381 	6647.05882 
294.95335 	5021.67183 	6814.24149 
300.04241 	5250.77399 	6969.04025 
305.02545 	5532.50774 	7142.41486 
310.00848 	5770.89783 	7263.15789 
314.99152 	5990.71207 	7334.36533 
319.97455 	6232.19814 	7411.76471 
324.95759 	6507.73994 	7495.35604 
330.04665 	6712.07430 	7551.08359 
335.02969 	6913.31269 	7606.81115 
340.01272 	7089.78328 	7662.53870 
344.99576 	7238.39009 	7684.21053 
349.97880 	7321.98142 	7687.30650 
354.96183 	7393.18885 	7690.40248 
360.05089 	7470.58824 	7690.40248 
365.03393 	7532.50774 	7690.40248 
370.01696 	7578.94737 	7693.49845 
375.00000 	7625.38700 	7705.88235 
379.98304 	7659.44272 	7712.07430 
384.96607 	7693.49845 	7713.00000 
389.94911 	7693.49845 	7714.00000 
395.03817 	7690.40248 	7715.00000 
400.02120 	7690.40248 	7718.26625 
